Item_ID,Item_Name,Category,Brand,MRP,Pack_Size,Fat_Content,Shelf_Life_Days
ITM0001,Everest Onion,Fruits & Vegetables,Everest,61.08,500 g,N/A,180
ITM0002,Tata Oats,Dairy & Breakfast,Tata,342.08,100 g,Regular,180
ITM0003,Fortune Trail Mix,Snacks & Munchies,Fortune,73.05,200 g,N/A,30
ITM0004,Himalaya Packaged Juice,Beverages,Himalaya,135.9,500 g,N/A,30
ITM0005,Parle Poha,Staples,Parle,350.57,250 g,N/A,2
ITM0006,Colgate Sunscreen,Personal Care,Colgate,302.67,200 g,N/A,30
ITM0007,Nestle Glass Cleaner,Home Care,Nestle,316.87,2 L,N/A,180
ITM0008,Britannia Pastry,Bakery,Britannia,127.35,1 kg,N/A,7
ITM0009,MTR Frozen Peas,Frozen & Instant Food,MTR,310.67,6 pcs,N/A,365
ITM0010,HUL Baby Food,Baby Care,HUL,359.32,100 g,N/A,7
ITM0011,Parle Earphones,Stationery & Electronics,Parle,443.86,200 g,N/A,7
ITM0012,Cadbury Pet Shampoo,Pet Care,Cadbury,307.32,200 g,N/A,180
ITM0013,Nestle Papaya,Fruits & Vegetables,Nestle,102.39,250 g,N/A,365
ITM0014,Dabur Oats,Dairy & Breakfast,Dabur,118.71,250 g,Regular,7
ITM0015,Britannia Rusk,Snacks & Munchies,Britannia,11.03,12 pcs,N/A,180
ITM0016,Parle Lemonade,Beverages,Parle,160.53,6 pcs,N/A,90
ITM0017,Mother Dairy Besan,Staples,Mother Dairy,118.29,250 g,N/A,180
ITM0018,Cadbury Toothpaste,Personal Care,Cadbury,276.09,1 kg,N/A,180
ITM0019,Local Brand Garbage Bags,Home Care,Local Brand,211.61,100 g,N/A,30
ITM0020,Local Brand Croissant,Bakery,Local Brand,120.44,100 g,N/A,7
ITM0021,Haldiram's Frozen Paratha,Frozen & Instant Food,Haldiram's,348.69,100 g,N/A,2
ITM0022,Surf Excel Baby Wipes,Baby Care,Surf Excel,305.52,250 g,N/A,180
ITM0023,Mother Dairy Notebook,Stationery & Electronics,Mother Dairy,711.99,2 L,N/A,30
ITM0024,Haldiram's Pet Shampoo,Pet Care,Haldiram's,166.83,12 pcs,N/A,2
ITM0025,Nestle Onion,Fruits & Vegetables,Nestle,90.85,6 pcs,N/A,7
ITM0026,Himalaya Eggs,Dairy & Breakfast,Himalaya,74.5,1 kg,Low Fat,30
ITM0027,Britannia Banana Chips,Snacks & Munchies,Britannia,52.21,500 g,N/A,90
ITM0028,Dabur Soda,Beverages,Dabur,35.78,500 g,N/A,365
ITM0029,Dabur Wheat Atta,Staples,Dabur,431.84,2 L,N/A,30
