Outlet_ID,Outlet_Name,City,Location_Tier,Outlet_Size,Outlet_Type,Establishment_Year
OUT0001,Blinkit Mumbai - 1,Mumbai,Tier 1,Small,Dark Store,2023
OUT0002,Blinkit Delhi - 1,Delhi,Tier 1,Medium,Warehouse Store,2021
OUT0003,Blinkit Bengaluru - 1,Bengaluru,Tier 1,Large,Express Hub,2019
OUT0004,Blinkit Hyderabad - 1,Hyderabad,Tier 1,Small,Dark Store,2022
OUT0005,Blinkit Chennai - 1,Chennai,Tier 1,Medium,Dark Store,2021
OUT0006,Blinkit Pune - 1,Pune,Tier 1,Medium,Dark Store,2024
OUT0007,Blinkit Kolkata - 1,Kolkata,Tier 1,Medium,Warehouse Store,2023
OUT0008,Blinkit Ahmedabad - 1,Ahmedabad,Tier 1,Large,Express Hub,2020
OUT0009,Blinkit Noida - 1,Noida,Tier 1,Medium,Express Hub,2023
OUT0010,Blinkit Gurugram - 1,Gurugram,Tier 1,Medium,Dark Store,2021
OUT0011,Blinkit Jaipur - 1,Jaipur,Tier 2,Medium,Dark Store,2021
OUT0012,Blinkit Lucknow - 1,Lucknow,Tier 2,Large,Dark Store,2021
OUT0013,Blinkit Coimbatore - 1,Coimbatore,Tier 2,Small,Express Hub,2023
OUT0014,Blinkit Indore - 1,Indore,Tier 2,Medium,Express Hub,2023
OUT0015,Blinkit Nagpur - 1,Nagpur,Tier 2,Large,Dark Store,2024
OUT0016,Blinkit Bhopal - 1,Bhopal,Tier 2,Medium,Dark Store,2022
OUT0017,Blinkit Kochi - 1,Kochi,Tier 2,Small,Express Hub,2023
OUT0018,Blinkit Chandigarh - 1,Chandigarh,Tier 2,Small,Warehouse Store,2019
OUT0019,Blinkit Surat - 1,Surat,Tier 2,Large,Warehouse Store,2023
OUT0020,Blinkit Vadodara - 1,Vadodara,Tier 2,Small,Dark Store,2021
OUT0021,Blinkit Visakhapatnam - 1,Visakhapatnam,Tier 2,Small,Warehouse Store,2022
OUT0022,Blinkit Patna - 1,Patna,Tier 2,Small,Dark Store,2018
OUT0023,Blinkit Tiruppur - 1,Tiruppur,Tier 3,Small,Express Hub,2020
OUT0024,Blinkit Guwahati - 1,Guwahati,Tier 3,Medium,Express Hub,2021
OUT0025,Blinkit Ranchi - 1,Ranchi,Tier 3,Medium,Dark Store,2022
OUT0026,Blinkit Mysuru - 1,Mysuru,Tier 3,Small,Warehouse Store,2020
OUT0027,Blinkit Nashik - 1,Nashik,Tier 3,Small,Dark Store,2022
OUT0028,Blinkit Raipur - 1,Raipur,Tier 3,Medium,Dark Store,2023
OUT0029,Blinkit Dehradun - 1,Dehradun,Tier 3,Medium,Express Hub,2023
OUT0030,Blinkit Jodhpur - 1,Jodhpur,Tier 3,Small,Warehouse Store,2020
OUT0031,Blinkit Madurai - 1,Madurai,Tier 3,Medium,Dark Store,2022
OUT0032,Blinkit Amritsar - 1,Amritsar,Tier 3,Large,Dark Store,2019
OUT0033,Blinkit Varanasi - 1,Varanasi,Tier 3,Medium,Dark Store,2023
OUT0034,Blinkit Siliguri - 1,Siliguri,Tier 3,Large,Dark Store,2018
OUT0035,Blinkit Mumbai - 2,Mumbai,Tier 1,Medium,Dark Store,2019
OUT0036,Blinkit Delhi - 2,Delhi,Tier 1,Small,Express Hub,2021
OUT0037,Blinkit Bengaluru - 2,Bengaluru,Tier 1,Small,Dark Store,2021
OUT0038,Blinkit Hyderabad - 2,Hyderabad,Tier 1,Small,Dark Store,2020
OUT0039,Blinkit Chennai - 2,Chennai,Tier 1,Medium,Express Hub,2020
OUT0040,Blinkit Pune - 2,Pune,Tier 1,Small,Warehouse Store,2019
OUT0041,Blinkit Kolkata - 2,Kolkata,Tier 1,Medium,Dark Store,2023
OUT0042,Blinkit Ahmedabad - 2,Ahmedabad,Tier 1,Small,Dark Store,2021
OUT0043,Blinkit Noida - 2,Noida,Tier 1,Medium,Dark Store,2021
OUT0044,Blinkit Gurugram - 2,Gurugram,Tier 1,Small,Dark Store,2022
OUT0045,Blinkit Jaipur - 2,Jaipur,Tier 2,Large,Dark Store,2023
OUT0046,Blinkit Lucknow - 2,Lucknow,Tier 2,Small,Dark Store,2022
OUT0047,Blinkit Coimbatore - 2,Coimbatore,Tier 2,Small,Dark Store,2023
